loan_id,customer_id,product_id,branch_id,advisor_id,disbursement_date,loan_amount,loan_term_months,loan_status
L001,C011,P004,B001,A001,2025-01-13,15000,12,Active
L002,C019,P001,B001,A007,2023-05-22,45000,12,Active
L003,C016,P005,B002,A008,2025-12-16,60000,24,Delinquent
L004,C018,P002,B003,A002,2025-02-03,30000,36,Active
L005,C008,P002,B001,A006,2023-02-13,60000,36,Active
L006,C008,P001,B001,A001,2024-04-13,8000,6,Closed
L007,C003,P005,B002,A008,2025-09-21,12000,36,Active
L008,C019,P005,B004,A004,2025-08-26,25000,12,Active
L009,C014,P003,B004,A007,2025-08-14,5000,6,Active
L010,C011,P001,B002,A003,2024-01-25,45000,24,Active
L011,C006,P003,B004,A004,2023-06-04,30000,36,Active
L012,C018,P001,B001,A004,2023-12-07,25000,24,Active
L013,C013,P001,B002,A008,2023-01-05,25000,18,Delinquent
L014,C015,P003,B004,A008,2023-11-14,12000,18,Active
L015,C002,P005,B005,A005,2024-10-04,5000,6,Active
L016,C017,P005,B002,A003,2025-11-06,8000,12,Active
L017,C003,P002,B004,A002,2024-05-19,60000,36,Active
L018,C003,P004,B005,A005,2024-06-18,12000,18,Active
L019,C013,P002,B003,A002,2024-10-09,8000,6,Active
L020,C019,P001,B001,A004,2025-11-02,15000,12,Delinquent
L021,C003,P002,B003,A002,2023-11-20,30000,36,Closed
L022,C020,P005,B001,A006,2023-08-01,10000,18,Active
L023,C004,P005,B002,A008,2024-07-31,60000,12,Closed
L024,C007,P003,B005,A005,2024-05-29,5000,6,Active
L025,C009,P001,B001,A006,2023-09-25,15000,12,Closed
L026,C018,P004,B005,A005,2023-08-18,8000,12,Active
L027,C012,P005,B005,A005,2025-05-30,10000,6,Active
L028,C002,P003,B002,A003,2023-07-30,20000,36,Closed
L029,C014,P005,B002,A003,2023-11-29,10000,24,Active
L030,C011,P004,B002,A008,2023-11-23,8000,24,Closed
L031,C016,P002,B002,A008,2024-12-17,15000,12,Active
L032,C007,P004,B003,A002,2023-05-23,15000,18,Active
L033,C013,P005,B003,A002,2023-08-25,15000,12,Active
L034,C009,P001,B001,A007,2024-12-08,20000,24,Active
L035,C017,P001,B004,A004,2024-06-05,5000,24,Active
L036,C018,P002,B003,A002,2023-05-24,20000,36,Active
L037,C004,P003,B005,A005,2025-04-16,20000,24,Closed
L038,C018,P002,B002,A008,2025-02-15,10000,36,Active
L039,C013,P005,B001,A006,2024-08-10,12000,24,Closed
L040,C020,P003,B004,A008,2025-06-24,12000,36,Active
