loan_id,customer_id,product_id,branch_id,advisor_id,disbursement_date,loan_amount,loan_term_months,loan_status
L001,C011,P004,B001,A001,2025-01-13,15000,12,Active
L002,C019,P001,B001,A007,2023-05-22,45000,12,Active
L003,C016,P005,B002,A008,2025-12-16,60000,24,Delinquent
L004,C018,P002,B003,A002,2025-02-03,30000,36,Active
L005,C008,P002,B001,A006,2023-02-13,60000,36,Active
L006,C008,P001,B001,A001,2024-04-13,8000,6,Closed
L007,C003,P005,B002,A008,2025-09-21,12000,36,Active
L008,C019,P005,B004,A004,2025-08-26,25000,12,Active
L009,C014,P003,B004,A007,2025-08-14,5000,6,Active
L010,C011,P001,B002,A003,2024-01-25,45000,24,Active
